Indicator_id;Chap_count;Tab_count;Filter_count;Rank_count
5.6.2;511;544;337;550
14.6.1;476;520;309;531
12.5.1;471;534;418;537
4.7.1;469;535;308;569
15.9.2;434;462;280;469
1.4.1;429;480;335;487
15.6.1;424;463;275;476
2.8.1;423;463;303;470
3.10.1;422;481;338;484
2.3.1;420;485;416;491
14.8.1;413;510;348;521
12.3.1;410;452;296;472
14.9.1;399;450;305;473
14.4.1;393;405;369;415
11.2.1;390;417;270;428
2.4.1;380;432;406;438
3.1.2;371;415;255;433
2.5.2;362;456;216;471
16.4.1;356;453;307;458
14.2.1;353;456;448;470
15.5.1;350;420;227;462
9.8.1;344;459;290;477
3.7.2;344;437;269;448
2.4.2;339;406;219;414
10.3.1;338;355;220;373
1.1.1;335;377;245;386
8.11.1;334;399;238;412
11.3.1;325;362;317;365
5.7.1;324;344;344;397
10.4.1;321;364;196;371
8.8.2;315;363;214;400
17.1.1;314;368;221;394
14.11.1;313;325;325;355
11.1.1;311;343;343;364
11.4.1;309;447;242;464
4.5.1;307;501;312;544
12.4.1;307;400;254;429
11.8.1;306;322;322;352
15.4.1;303;353;343;365
8.4.1;301;327;327;335
4.8.1;301;361;243;372
6.7.1;296;331;331;361
4.2.2;293;340;212;360
4.9.1;292;301;301;301
11.7.1;291;389;227;404
4.4.1;289;320;320;324
14.7.2;288;347;240;353
14.12.1;288;347;347;353
2.7.1;287;327;327;332
15.3.2;286;364;204;400
12.1.1;284;356;239;375
14.4.2;284;375;52;398
11.6.1;274;385;289;423
15.1.3;269;333;134;373
14.1.1;269;346;346;348
14.3.1;269;342;342;343
14.2.2;269;383;47;394
6.8.1;268;309;309;334
14.10.1;267;297;297;312
5.5.1;267;317;186;336
15.2.3;263;313;131;358
7.1.1;261;297;201;303
15.4.2;260;281;73;292
11.10.1;257;319;319;326
11.6.2;257;386;147;414
3.10.2;256;275;195;278
4.10.1;255;288;288;356
11.9.1;252;323;323;332
6.6.1;252;378;232;398
3.3.3;252;335;204;362
9.1.2;250;394;241;409
4.3.1;248;300;300;320
16.2.1;248;304;304;313
2.6.1;248;306;306;314
17.2.1;247;348;211;353
17.2.2;247;327;200;339
9.7.1;245;307;307;313
2.3.2;245;335;59;341
5.1.1;242;346;346;437
8.6.1;242;268;268;278
9.4.1;241;299;299;308
12.8.1;231;258;258;297
12.6.1;224;242;242;279
1.2.2;222;282;159;322
11.3.2;222;264;58;313
1.3.1;221;276;276;358
7.4.1;220;291;291;295
2.4.3;220;243;51;247
15.1.2;217;261;163;277
8.3.1;206;264;264;278
3.4.2;184;238;238;248
15.2.1;180;235;213;266
3.11.1;172;223;223;234
12.7.1;170;177;177;226
15.7.1;164;264;264;328
15.6.2;163;188;131;207
15.2.2;159;190;150;260
8.5.1;156;273;187;296
6.2.1;152;205;205;212
6.1.1;152;196;196;212
1.6.1;152;197;197;236
5.9.1;150;225;225;318
8.8.1;144;182;173;202
3.3.4;142;172;95;185
12.9.1;142;212;212;244
5.6.1;141;154;148;245
2.2.1;131;208;208;272
2.5.1;131;211;203;284
9.1.1;126;133;94;160
2.1.1;126;139;139;147
3.5.1;124;147;147;161
13.2.1;122;178;178;220
8.9.1;121;173;173;207
5.8.1;117;192;192;199
9.5.2;116;167;167;182
5.3.1;110;155;155;241
10.1.1;107;132;132;208
8.10.2;104;151;151;208
3.6.1;102;261;261;348
4.2.1;102;138;127;212
3.7.1;102;148;139;150
14.7.1;96;121;119;136
9.3.2;93;115;115;151
2.1.2;93;178;178;191
3.4.1;90;90;90;97
15.1.1;89;126;123;166
3.3.1;89;130;130;134
4.6.1;89;272;272;360
1.2.1;89;130;106;135
5.4.1;87;129;129;150
16.3.1;86;150;150;175
10.2.1;85;110;110;183
8.2.1;84;146;146;159
8.1.1;84;137;137;148
6.5.1;84;144;144;184
8.5.2;80;88;49;92
7.1.2;76;102;77;113
15.8.1;75;189;189;198
4.1.1;75;139;139;214
7.5.1;74;131;131;137
3.8.2;74;128;128;139
13.3.1;73;108;108;172
12.3.2;73;89;73;109
15.3.1;71;212;147;312
6.3.2;71;107;107;186
15.9.1;70;83;61;102
3.1.1;70;76;64;94
9.3.1;69;69;69;110
6.4.2;68;83;83;117
9.5.1;68;109;109;114
12.2.1;67;164;164;176
9.2.2;64;70;70;77
7.3.1;61;135;135;148
16.1.1;60;135;135;143
3.8.1;58;140;140;169
3.2.2;56;66;66;86
3.2.1;56;56;56;75
2.2.2;56;130;130;194
9.6.1;56;102;102;104
11.7.2;55;87;66;179
6.3.1;54;63;63;85
1.5.1;53;53;53;130
13.1.1;53;53;53;130
11.5.1;53;53;53;130
16.5.1;52;69;69;75
7.2.1;49;55;55;57
5.5.2;49;61;61;69
3.3.2;45;45;45;45
3.9.1;45;50;50;119
5.3.2;39;66;66;194
8.7.1;39;81;81;91
5.2.2;39;81;81;220
5.2.1;39;85;85;148
3.6.2;39;73;73;157
6.4.1;35;69;69;88
8.10.1;29;126;126;138
2.8.2;27;58;56;88
14.5.1;18;28;28;35
3.12.1;17;182;182;204
