Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
140;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Working,Raingauge Stations
141;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Not Working,Raingauge Stations
142;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Total,Raingauge Stations
143;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Rainydays,Annual Normal Rainfall 1951 to 2000
144;3;Rainfall;3.1;No.of Rainguage Raingauge Stations Annual Normal Rainfall and Rain Days Year 2017;Normal Rainfall,Annual Normal Rainfall 1951 to 2000
145;3;Rainfall;3.2;Actual Annual Rainfall;2006,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
146;3;Rainfall;3.2;Actual Annual Rainfall;2007,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
147;3;Rainfall;3.2;Actual Annual Rainfall;2008,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
148;3;Rainfall;3.2;Actual Annual Rainfall;2009,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
149;3;Rainfall;3.2;Actual Annual Rainfall;2010,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
150;3;Rainfall;3.2;Actual Annual Rainfall;2011,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
151;3;Rainfall;3.2;Actual Annual Rainfall;2012,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
152;3;Rainfall;3.2;Actual Annual Rainfall;2013,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
153;3;Rainfall;3.2;Actual Annual Rainfall;2014,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
154;3;Rainfall;3.2;Actual Annual Rainfall;2015,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
155;3;Rainfall;3.2;Actual Annual Rainfall;2016,Actual Annual Rainfallfrom 2006 to 2016 mms,Rainfall in mms
