Goal No.;Chap_count;Tab_count;Rank_count
7;366;389;395
15;361;402;429
2;331;357;362
5;298;324;388
14;248;299;310
11;248;286;309
4;224;302;341
6;159;206;211
3;136;169;186
17;126;163;164
16;109;127;136
10;87;103;125
9;56;76;76
12;56;183;185
8;56;71;118
1;41;63;75
13;39;39;53
