10;aPÀÌaÀÄUÀ1⁄4ÀÆgÀÄ;722075;202028;43579;28322;71901;19322;88585;19774;127681;19374;6371;25745;294720;66249;360969;50;7640;6210;1561;6674;6384;426;173;173;31291;35276;26174;4075;110;110;14521;13616;64394;52667;33036;9756;Null;25831;43660;Null;2538;114821;754;10345;439;4919;3689;895;13249;74;34364;149185;13137;17982;5851;5088;Null;418;5858;218;Null;16;104;17553;1364;2181;19;110533;9080;Null;61353;52776;Null;1953;235695;363;7400;49;619;997;187;7510;267;17392;253087;3909;1479;Null;146;2956;1;Null;117;8612;3171;132145;13;284692;28917;179;81573;51;249;106901;52209;27908;1406;2056;Null;14366;4297;9194;60100;46752;8038;7053;250;105369;9396;4342;13083;2884;897;Null;2738;1259;Null;757;2043;701;658;170;191;454;392;850;950;643;1777;848;479;Null;645;345;Null;519;340;616;308;100;735;1052;89;1058;287;0.59;29822;19107;18933;67863;2008.75;Null;848.16;1874.55;2923.79;Null;3319.79;Null;86.70;5.28;48.15;23.85;1485.30;79.54;Null;12703.86;78.91;16.282;68;30;3;105;138;45.552;Null;4;Null;17;21;5;Null;108;113;Null;Null
11;zÀQtë PÀ£ÀßqÀ;477381;128476;68711;58780;127491;27755;14401;25386;67542;6665;6043;12708;141164;24991;166155;Null;Null;Null;11;Null;Null;41083;42758;42026;15501;17259;16589;8;129;129;20863;20225;81009;78969;48689;Null;Null;Null;Null;Null;Null;48689;Null;190;1949;582;Null;543;Null;Null;3264;51953;6123;2289;Null;Null;Null;Null;366;Null;Null;Null;41;407;Null;20;Null;132588;Null;Null;Null;Null;Null;Null;132588;Null;93;639;188;Null;148;Null;Null;1068;133656;Null;Null;Null;Null;193;Null;Null;Null;193;Null;912;Null;266310;73529;10;9578;4906;643;67465;14838;71;18297;526;Null;1107;Null;4291;Null;Null;1319;Null;Null;Null;850;10020;10525;2666;Null;Null;Null;Null;Null;Null;2666;Null;501;384;346;Null;346;Null;Null;378;2543;Null;Null;Null;Null;Null;Null;563;Null;564;Null;96;Null;2111;88;380;150;0.52;6905;4480;7203;18588;921.75;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;921.75;25.80;0.845;35;7;6;39;52;2.903;1;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null
12;GqÀÄ¦;356446;100102;42284;11595;53879;36929;10625;44307;91861;2998;9744;12742;97862;13672;111534;Null;Null;Null;291;453;453;36738;25592;23804;2077;699;699;2245;1999;1882;4804;4184;33547;31022;49608;Null;Null;8;Null;Null;Null;49616;Null;39;3634;491;Null;265;Null;Null;4429;54045;3044;1036;1819;Null;Null;Null;30;Null;Null;Null;Null;1849;Null;16;Null;138156;Null;Null;109;Null;Null;Null;138265;Null;73;1890;12;Null;69;Null;Null;2044;140309;3623;Null;Null;Null;19;Null;Null;Null;3642;Null;3830;Null;180310;30184;Null;2663;1569;32;22829;18006;280;15730;292;Null;3192;Null;2773;Null;Null;1934;Null;Null;Null;1003;5530;8531;2935;Null;Null;3825;Null;Null;Null;2935;Null;1471;545;346;Null;346;Null;Null;545;2759;2119;Null;Null;Null;Null;Null;563;Null;2088;Null;96;Null;3881;Null;762;81;1.80;2857;1412;1879;6148;2462.00;Null;Null;Null;Null;Null;Null;Null;Null;53.00;Null;Null;441.40;Null;Null;2956.4;25.36;1.521;23;Null;33;26;59;6.845;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null
13;oÁ À̧£À;662602;58775;79856;30365;110221;14142;32943;6963;54048;50903;44329;95232;344326;73252;417578;520;45192;36097;6066;23476;20308;952;699;504;46529;24482;23393;20;Null;Null;3912;3623;97761;83925;42818;996;Null;79058;69661;Null;210;192743;1915;4553;1770;9066;3127;12816;1797;Null;35044;227787;9780;22105;862;880;Null;1017;2410;1501;Null;Null;269;6939;354;1526;13624;143705;981;Null;333937;155899;Null;169;634691;3810;3804;443;1929;4129;4139;1751;Null;20005;654696;521;697;Null;1202;1847;Null;Null;515;4822;917;171304;9708;313763;8568;748;63876;5;47;103777;21547;26074;1855;1947;72;10368;1803;5095;118603;58328;9531;5780;18;1459;28738;6936;46907;3147;917;Null;4213;2206;Null;486;3222;1700;529;207;195;921;313;998;Null;489;2752;674;808;Null;963;Null;Null;538;278;583;410;115;849;1986;102;1347;163;0.59;33682;21937;12813;68431;5046.61;Null;24.87;2708.81;8925.33;Null;509.40;Null;105.68;24.16;85.78;187.25;1.20;7.28;Null;17626.37;1161.36;662.022;446;143;24;1685;1852;2361.582;1;16;15;108;139;67;11;1531;1609;2;Null
14;PÉÆqÀUÀÄ;410775;134597;24215;31010;55225;9076;13884;20219;43179;8989;3725;12714;165060;23728;188788;92;1226;1226;1464;90;90;137;Null;Null;1398;106;106;11;59;59;74;74;1555;1555;28336;Null;Null;3448;Null;Null;Null;31784;Null;Null;Null;Null;Null;12;Null;Null;12;31796;4791;372;63;Null;Null;Null;Null;Null;Null;Null;579;642;Null;Null;199;86303;Null;Null;17921;Null;Null;Null;104224;Null;Null;Null;Null;Null;4;Null;Null;4;104228;45;Null;Null;Null;Null;Null;Null;Null;45;Null;Null;156;13332;9070;575;65644;822;88;44160;1029;52876;1980;2420;Null;2030;Null;3675;225;460;50;220;Null;Null;593;160;30;2934;Null;Null;5359;Null;Null;Null;3182;Null;Null;Null;Null;Null;346;Null;Null;351;3181;667;Null;Null;Null;Null;Null;Null;Null;667;Null;Null;735;1986;75;444;423;0.60;17517;11768;11662;40947;2625.15;Null;Null;Null;246.41;Null;Null;Null;Null;Null;Null;3.00;Null;Null;Null;2874.56;6.40;4.508;14;1;1;14;16;16.322;1;Null;Null;3;3;Null;Null;Null;Null;Null;Null
15;aÀÄAqÀå;498244;24765;63492;21519;85011;41955;32049;3628;77632;54855;46418;101273;209563;50135;259698;780;103240;90672;630;18560;14854;11850;7501;5485;35709;20704;16025;89;409;409;943;843;151357;128288;58487;1020;Null;4892;61097;Null;35;125531;1501;28420;250;232;1955;4789;172;Null;37319;162850;14982;16776;1361;6;Null;398;2627;738;Null;Null;85;5215;Null;36678;Null;246543;1192;30;19387;100642;Null;Null;367794;468;13161;64;44;1834;1813;142;Null;17526;385320;1021;8;Null;409;879;Null;Null;283;2600;11;2543538;Null;273983;1325;Null;Null;Null;272;92867;74426;10647;125;7107;Null;34908;1060;35970;3970;177681;28451;10010;1276;15416;8720;8238;54621;3868;970;902;4545;1784;Null;Null;2927;309;472;327;215;706;450;708;Null;479;2374;914;702;Null;645;Null;Null;281;299;448;409;124;Null;1986;Null;Null;163;1.06;38826;13127;8605;60558;19193.78;Null;Null;1264.41;794.03;Null;Null;Null;17.00;0.25;6.50;56.40;135.00;Null;Null;21467.37;14773.90;16720.096;1145;957;44;29305;30306;65160.826;2;211;3;307;521;219;7;16775;17001;Null;Null
16;aÉÄÊ À̧ÆgÀÄ;676382;62851;75209;45018;120227;21407;46808;5871;74086;22616;23516;46132;373086;117519;490605;1308;101567;91797;937;13529;12440;662;12021;10244;26905;22903;19842;3;215;215;Null;Null;150235;134538;93521;3466;Null;37283;50883;Null;Null;185153;2774;31956;19840;12398;18354;41022;1052;Null;127396;312549;13557;11257;2387;1005;Null;943;10066;20;Null;16;175;14612;49160;9404;57672;354227;6047;Null;137154;85090;Null;Null;582518;1786;14078;3522;2221;8617;10435;1560;Null;42219;624737;2170;762;18;734;2411;4;Null;503;6602;95332;374285;44770;219134;3390;Null;339;6;34;187368;41743;1141;100;765;1160;13580;5;20857;810;89727;18709;5279;117;695;32097;1276;10774;3550;1104;Null;3866;2222;Null;Null;3254;697;433;344;294;605;409;750;Null;446;2282;874;1149;1198;686;345;Null;569;274;645;354;96;649;1986;88;762;163;0.59;32045;19509;10459;62014;26721.77;Null;17.76;393.15;1573.43;Null;120.00;Null;18.45;255.70;354.68;560.55;412.80;13.34;Null;30441.63;1502.45;949.176;586;199;105;2269;2573;3756.459;2;90;65;204;359;119;70;1646;1835;Null;Null
17;ZÁaÀÄgÁd£ÀUÀgÀ;569901;275610;24627;21434;46061;7637;22750;4741;35128;40181;11858;52039;161063;33629;194692;187;21040;21040;155;7160;5290;3158;2400;1870;22849;46793;44070;5;Null;Null;Null;Null;77393;72270;13881;13193;519;38569;15917;Null;58;82137;542;13496;5500;4534;1956;3994;3202;Null;33224;115361;15307;16560;12179;8841;Null;464;791;202;Null;Null;27;22504;13584;5598;11;45856;4947;424;147886;26997;Null;24;226134;389;7359;925;971;888;949;2065;Null;13546;239680;8867;2388;Null;126;210;1;Null;33;11625;17931;298703;61;76689;590;1;279;5;5;300054;9080;3783;Null;2191;Null;4815;1974;24674;5305;88112;16783;13152;120;78132;9957;1972;5453;3494;371;1206;4483;1823;Null;602;3030;388;504;329;313;364;263;782;Null;448;2286;697;275;Null;211;345;Null;268;274;508;213;88;735;1986;88;762;163;0.60;11297;6912;5594;23803;5059.90;Null;100.50;1021.85;2054.60;Null;689.20;Null;4.35;222.41;180.45;157.43;3345.90;494.76;Null;13331.353;1103.97;225.698;254;188;32;1612;1832;898.025;5;390;21;28;439;23;4;218;245;Null;Null
18;É̈1⁄4ÀUÁ«;1344382;190424;69830;44342;114172;11465;24877;3093;39435;157545;52889;210434;789917;231379;1021296;416;72385;59908;898;341;307;62995;167271;137331;43484;170859;139708;6503;18990;17092;89257;71405;519103;425751;61230;163722;4535;131163;246;33155;811;394862;5075;1536;3816;32417;726;817;104263;1090;149740;544602;14917;43214;37419;23982;2135;23;110;210;90450;251;50;154630;39578;215429;11032;177552;141459;5726;576758;1208;68727;1017;972447;2608;800;492;3557;516;954;53388;754;63069;1035516;39530;11172;2235;50;138;269;63115;75;116637;106160;16296533;10784;1110;14;Null;Null;832;Null;102887;63978;6812;Null;6325;43083;17658;6480;17288;84702;186776;104172;11529;3500;142809;94285;19087;25211;3118;1200;651;3874;1122;1546;893;2565;957;358;191;144;892;806;715;323;569;2113;1103;761;773;645;369;894;910;315;930;2772;95;1292;1986;Null;Null;513;Null;100099;45042;34851;179992;120.10;2682.90;2269.78;Null;11883.58;203.81;13493.40;23.64;219.70;164.36;748.70;Null;1581.50;216.86;40862.00;74470.33;;;;;;;;;;56;68;368;492;35;31;750;816;1;Null
19;«dAiÀi¥ÀÄgÀ;1053471;1977;36266;29059;65325;5502;9575;1316;16393;61266;5685;66951;902825;65901;968726;296;87422;87422;114;Null;Null;42781;80695;72980;35001;129533;113515;2;Null;Null;9840;8957;307490;282874;51;176980;20156;40207;Null;53842;Null;291236;135696;513;5;4173;1;358;322020;368;463134;754370;22691;30197;24779;45335;13809;Null;107;95;Null;1065;111;85301;7717;78136;Null;170;134027;35337;226327;Null;57685;Null;453546;116918;487;90;523;6;83;95037;616;213760;667306;27528;21594;1032;Null;32;164;Null;48;50398;33917;3914190;Null;2488;Null;Null;Null;Null;Null;29580;2198;170375;Null;2560;190856;2540;26060;11475;Null;31470;23125;150;324;497825;13598;3820;6598;3576;974;762;3609;Null;1131;Null;1523;657;165;308;106;736;200;585;220;608;1028;694;386;413;Null;200;Null;113;274;507;2451;84;Null;Null;Null;Null;Null;Null;29057;18614;6557;54228;Null;2321.70;1308.95;Null;2682.76;200.59;16988.92;Null;4488.63;18.00;208.71;Null;12918.50;141.40;Null;41278.16;512.03;249.909;276;73;63;1031;1167;1103.648;3;3;Null;110;113;50;2;283;335;Null;Null
