Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
156;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Geographical Area,Land Utilisation 2015-16
157;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Forest,Land Utilisation 2015-16
158;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Land put to Non- Agricultural uses,Land notavailable for cultivation,Land Utilisation 2015-16
159;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Barren cultivable land,Land notavailable for cultivation,Land Utilisation 2015-16
160;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Land notavailable for cultivation,Land Utilisation 2015-16
161;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Cultivable- waste,Other Uncultivated Land,Land Utilisation 2015-16
162;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Permanent Pasture,Other Uncultivated Land,Land Utilisation 2015-16
163;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Trees and Groves,Other Uncultivated Land,Land Utilisation 2015-16
164;4;Agriculture, Horticulture and Sericulture;4.1;Land Utilisation in Hectares;Total,Other Uncultivated Land,Land Utilisation 2015-16
165;4;Agriculture, Horticulture and Sericulture;4.1;Utilisation in Hectares;Current,Fallow Land,Land Utilisation 2015-16 in Hectares
166;4;Agriculture, Horticulture and Sericulture;4.1;Utilisation in Hectares;Other,Fallow Land,Land Utilisation 2015-16 in Hectares
167;4;Agriculture, Horticulture and Sericulture;4.1;Utilisation in Hectares;Total,Fallow Land,Land Utilisation 2015-16 in Hectares
168;4;Agriculture, Horticulture and Sericulture;4.1;Utilisation in Hectares;Net,Area Sown,Land Utilisation 2015-16 in Hectares
169;4;Agriculture, Horticulture and Sericulture;4.1;Utilisation in Hectares;More than once,Area Sown,Land Utilisation 2015-16 in Hectares
170;4;Agriculture, Horticulture and Sericulture;4.1;Utilisation in Hectares;Total,Area Sown,Land Utilisation 2015-16 in Hectares
171;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Length in KMs,Canals,2015-16 Net area irrigated Hectares
172;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Canals,2015-16 Net area irrigated Hectares
173;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Canals,2015-16 Net area irrigated Hectares
174;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Tanks,2015-16 Net area irrigated Hectares
175;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Tanks,2015-16 Net area irrigated Hectares
176;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Tanks,2015-16 Net area irrigated Hectares
177;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,2015-16 Net area irrigated Hectares
178;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,2015-16 Net area irrigated Hectares
179;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,2015-16 Net area irrigated Hectares
180;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Wells,area Irrigated under Different Sources 2015-16
181;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Wells,area Irrigated under Different Sources 2015-16
182;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Wells,area Irrigated under Different Sources 2015-16
183;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Nos,Lift Irrigation,area Irrigated under Different Sources 2015-16
184;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Lift Irrigation,area Irrigated under Different Sources 2015-16
185;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Lift Irrigation,area Irrigated under Different Sources 2015-16
186;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Other Sources,area Irrigated under Different Sources 2015-16
187;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Other Sources,area Irrigated under Different Sources 2015-16
188;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Gross Irrigated Area,Total,area Irrigated under Different Sources 2015-16
189;4;Agriculture, Horticulture and Sericulture;4.2;Gross and Net area Irrigated under Different Sources;Net Area Irrigated,Total,area Irrigated under Different Sources 2015-16
190;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Paddy,Area under Cereals Hect.,Area under principal crops In Hect.
191;4;Agriculture, Horticulture and Sericulture;4.3;Area Under principal crops Year 2015-16;Jowar,Area under Cereals Hect.,Area under principal crops In Hect.
