Target_id;Chap_count;Tab_count;Filter_count;Rank_count
6.6;573;582;306;621
2.6;536;611;426;716
11.8;462;840;494;861
5.6;418;476;327;517
2.4;368;431;263;457
8.10;353;364;282;456
15.7;350;421;305;432
10.1;329;391;268;409
3.6;310;336;336;354
4.8;301;370;286;383
4.2;298;305;305;342
4.3;292;464;296;529
14.8;292;361;236;384
3.10;286;343;343;399
4.9;283;335;335;353
14.3;280;303;303;321
2.5;275;482;397;581
8.6;274;322;322;329
16.5;267;275;275;297
12.5;260;322;322;367
1.4;258;530;363;598
11.1;251;274;274;290
9.3;246;265;265;381
1.1;246;501;279;557
10.4;245;316;316;334
5.9;244;284;284;441
4.4;237;371;270;470
9.4;233;326;326;341
5.8;223;231;231;244
14.6;220;249;249;274
16.4;213;246;246;268
2.3;210;515;396;548
4.1;208;363;222;366
8.3;199;378;292;398
9.2;196;442;326;483
9.6;196;206;206;228
4.7;196;277;277;381
7.3;194;270;270;300
1.2;192;500;325;572
5.4;190;303;303;350
8.9;187;257;257;298
16.2;187;260;260;310
10.2;185;279;279;288
13.1;182;251;251;369
2.7;179;455;321;501
12.7;177;177;177;263
5.7;177;461;310;512
13.3;172;230;230;264
11.4;168;248;248;259
4.5;163;211;211;318
1.3;163;170;170;287
4.6;162;390;271;457
3.7;160;178;178;199
9.7;157;243;243;292
8.7;157;243;243;357
9.8;155;171;171;179
5.5;152;272;272;304
16.3;151;176;176;278
12.9;151;171;171;184
14.5;150;180;180;204
12.4;146;188;188;214
15.3;145;226;226;256
6.2;144;168;168;263
14.12;144;174;174;201
3.11;141;199;199;202
3.9;141;253;253;358
6.7;141;193;193;228
14.1;141;505;357;524
14.4;141;296;296;321
9.5;140;351;259;459
12.3;136;219;219;271
6.1;136;159;159;178
6.8;134;182;182;194
7.5;133;167;167;187
13.2;132;201;201;240
8.11;132;189;189;221
8.4;130;266;266;357
2.2;127;338;338;416
12.2;126;152;152;190
7.2;126;217;217;234
3.2;124;168;168;260
15.1;124;397;289;422
3.12;121;135;135;156
12.6;120;246;246;278
7.1;116;323;323;339
14.9;113;338;338;356
12.1;111;145;145;155
6.5;111;203;203;224
7.4;111;146;146;163
3.3;109;361;262;375
1.5;109;476;316;502
11.9;109;430;281;471
15.9;109;215;215;227
2.8;109;155;155;176
3.4;108;187;187;197
17.2;104;170;170;195
10.3;104;279;279;316
3.5;97;123;123;134
14.2;96;436;301;466
14.10;91;143;143;157
8.2;87;173;173;189
15.2;83;331;331;351
11.2;81;151;151;170
16.1;80;94;94;141
14.7;79;136;136;145
15.8;78;85;85;189
9.1;76;103;103;128
15.5;76;387;266;394
15.6;73;156;156;223
17.1;71;167;167;184
8.8;71;186;186;422
1.6;68;385;250;414
11.3;68;97;97;121
11.5;68;155;155;258
4.10;68;132;132;232
12.8;68;229;229;257
3.8;64;116;116;137
3.1;58;144;144;234
14.11;58;79;79;92
6.4;55;102;102;200
8.5;55;55;55;165
5.2;51;188;188;346
11.7;51;146;146;176
8.1;51;102;102;183
11.10;51;105;105;115
15.4;50;164;164;219
5.3;49;151;151;304
6.3;47;63;63;85
5.1;40;100;100;309
2.1;38;73;73;185
11.6;38;186;186;407
