1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
19;«dAiÀi¥ÀÄgÀÀ;20;251;20;213;5;6;679;13;692;1;Null;5;7;Null;13;32;2;49;10;882;22;6;12;340;27.97;129;695;824;6291;28519;34810;83562;65105;148667;619;179596;180215;10012;12983;22995;123;18378;18501;100607;304581;405188;100607;304581;405188;1851018;1686650;1517268;1373000;74519;60661
20;̈ÁUÀ®PÉÆÃmÉ;18;245;18;198;6;15;613;11;624;Null;5;5;5;Null;15;17;1;27;5;686;14;6;12;565;229.03;166;520;686;9075;27493;36568;98567;29027;127594;Null;150329;150329;7852;9010;16862;Null;12135;12135;115494;227994;343488;115494;227994;343488;2400975;2183007;1956941;1768648;111126;90033
21;zÁs gÀaÁqÀ;14;200;14;144;5;6;361;18;379;1;Null;2;3;Null;6;26;5;22;4;246;3;6;14;483;44.23;249;265;514;6250;15471;21721;113500;100032;213532;65;65200;65265;50162;13923;64085;Null;Null;Null;169977;194626;364603;169977;194626;364603;2296256;2093592;1929147;1749397;109040;91113
22;UÀzUÀ À;11;195;11;122;5;9;322;15;337;Null;1;5;3;Null;9;21;1;30;6;852;13;6;13;273;23.76;112;255;367;2630;19066;21696;55022;22229;77251;6875;111987;118862;8696;3401;12097;7942;7051;14993;81165;163734;244899;81165;163734;244899;1048589;956984;892364;809446;86476;73144
23;oÁaÃÉ j;19;256;19;224;7;10;696;7;703;Null;2;5;2;Null;9;8;2;14;3;92;Null;7;15;715;8.33;107;363;470;5963;21654;27617;50520;43750;94270;Null;158022;158022;18890;23211;42101;Null;Null;Null;75373;246637;322010;75373;246637;322010;1433414;1311240;1188691;1080363;78952;65050
24;GvgÛÀ À PÀ£ßÀ qÀ;35;241;35;231;11;18;1243;46;1289;Null;3;4;5;Null;12;14;4;21;5;142;Null;11;14;575;12.49;90;357;447;666;9306;9972;32510;90763;123273;12416;107816;120232;26179;35685;61864;282;12066;12348;72053;255636;327689;72053;255636;327689;1688708;1546647;1374128;1250449;103526;83700
25;§1⁄4Ájî;27;295;27;200;7;13;522;30;552;1;2;6;6;Null;15;12;Null;28;9;94;1;9;26;925;22.36;177;424;601;11724;43553;55277;114518;78130;192648;Null;131670;131670;33706;9551;43257;Null;2030;2030;159948;264934;424882;159948;264934;424882;3178061;2856766;2668098;2383135;112051;93473
26;©ÃzgÀ ï;28;338;28;186;5;7;595;25;620;Null;2;4;1;Null;7;31;1;38;4;916;12;6;13;436;15.02;164;573;737;4074;29550;33624;50712;44541;95253;Null;137237;137237;5969;6813;12782;Null;18988;18988;60755;237129;297884;60755;237129;297884;1340644;1224373;1098377;997731;69149;56349
27;PÀ®§ÄgÀV;32;346;32;264;7;11;871;47;918;1;1;7;Null;2;11;11;Null;33;3;305;3;7;17;431;11.76;212;774;986;7857;45985;53842;115360;42288;157648;33;228459;228492;3841;4353;8194;3813;51504;55317;130904;372589;503493;130904;372589;503493;2053702;1864922;1666511;1502915;69906;56336
28;AiÀiÁzVÀ j;16;172;16;123;3;7;487;26;513;Null;3;3;Null;Null;6;;;39;4;998;19;3;8;247;4.01;70;328;398;4161;23697;27858;5763;4315;10078;27016;134646;161662;1410;1053;2463;1181;849;2030;39531;164560;204091;39531;164560;204091;898728;820362;761850;690865;67205;56597
29;gÁAiÀÄZÀÆgÀÄ;37;277;37;180;5;9;815;69;884;Null;2;5;4;Null;11;18;1;;;;;6;19;788;12.53;125;581;706;8730;36033;44763;74176;55560;129736;84;155931;156015;14979;7596;22575;Null;4829;4829;97969;259949;357918;97969;259949;357918;1629829;1487691;1353772;1227342;74197;61213
30;PÉÆ¥1⁄4àÀ À;20;159;20;153;4;5;595;34;629;Null;2;2;5;1;10;;;15;2;21;Null;6;15;485;5.69;72;370;442;5095;30410;35505;64970;14055;79025;1121;140654;141775;766;2665;3431;22;3169;3191;71974;190953;262927;71974;190953;262927;1158559;1057590;953312;864130;73197;59807
