Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
949;8;Co-Operation and Agricultural Marketing;8.1;Dcc Banks 2019-20;No. of Dcc Bank Branches,In Lakhs
950;8;Co-Operation and Agricultural Marketing;8.1;Dcc Banks 2019-20;No of Members Availed Loan,In Lakhs
951;8;Co-Operation and Agricultural Marketing;8.1;Dcc Banks 2019-20;Agriculture Loan,In Lakhs
952;8;Co-Operation and Agricultural Marketing;8.1;Dcc Banks 2019-20;Other Loan,In Lakhs
953;8;Co-Operation and Agricultural Marketing;8.1;Dcc Banks 2019-20;Total Loan,In Lakhs
954;8;Co-Operation and Agricultural Marketing;8.1;Dcc Banks 2019-20;Deposits,In Lakhs
955;8;Co-Operation and Agricultural Marketing;8.2;Kscard Pld Banks 2019-20 Rs. In Lakhs;No. of Pld Banks
956;8;Co-Operation and Agricultural Marketing;8.2;Kscard Pld Banks 2019-20 Rs. In Lakhs;No of Members Availed Loan
957;8;Co-Operation and Agricultural Marketing;8.2;Kscard Pld Banks 2019-20 Rs. In Lakhs;Agriculture Loan
958;8;Co-Operation and Agricultural Marketing;8.2;Kscard Pld Banks 2019-20 Rs. In Lakhs;Other Loan
959;8;Co-Operation and Agricultural Marketing;8.2;Kscard Pld Banks 2019-20 Rs. In Lakhs;Total Loan
960;8;Co-Operation and Agricultural Marketing;8.2;Kscard Pld Banks 2019-20 Rs. In Lakhs;Deposits
961;8;Co-Operation and Agricultural Marketing;8.3;Credit Co-operative Societies on 31-03-2020 In Cumulative Numbers;Society,Agricultural
962;8;Co-Operation and Agricultural Marketing;8.3;Credit Co-operative Societies on 31-03-2020 In Cumulative Numbers;Members,Agricultural
963;8;Co-Operation and Agricultural Marketing;8.3;Credit Co-operative Societies on 31-03-2020 In Cumulative Numbers;Society,Non-Agricultural
964;8;Co-Operation and Agricultural Marketing;8.3;Credit Co-operative Societies on 31-03-2020 In Cumulative Numbers;Members,Non-Agricultural
965;8;Co-Operation and Agricultural Marketing;8.3;Credit Co-operative Societies on 31-03-2020 In Cumulative Numbers;Society,Total
966;8;Co-Operation and Agricultural Marketing;8.3;Credit Co-operative Societies on 31-03-2020 In Cumulative Numbers;Members,Total
967;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Society,Marketin
968;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Members,Marketin
969;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Society,Housing
970;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Members,Housing
971;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Society,Milk
972;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Member,Milk
973;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Society,Others
974;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Members,Others
975;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Socie,Total
976;8;Co-Operation and Agricultural Marketing;8.4;Non-Credit Co-operative Socities on 31-03-2020 In Cumulative Numbers;Members,Total
