Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
334;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Geographical Area
335;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Forest
336;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;% of Forest Area to Geographical Area
337;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Non agricultural uses,Land not available for Cultivation
338;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Barren Uncultivatable Land,Land not available for Cultivation
339;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Total,Land not available for Cultivation
340;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;% of Land not available for Cultivation to Geographical Area,Land not available for Cultivation
341;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Cultivable waste,Other Uncultivated Land
342;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Permanent Pasture,Other Uncultivated Land
343;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;% of Permanent Pasture to Geographical Area,Other Uncultivated Land
344;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Trees and Groves,Other Uncultivated Land
345;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Total,Other Uncultivated Land
346;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Current,Fallow Land
347;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Other,Fallow Land
348;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Total,Fallow Land
349;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Net,Area sown
350;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;More than Once,Area sown
351;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Total,Area sown
352;4;Agriculture, Horticulture & Sericulture;4.1;Land Utilization in Hectares 2018-19;Net area Sown to Geographical Area,Area sown
353;4;Agriculture, Horticulture & Sericulture;4.2;Gross and Net area Irrigated under different Sources 2018-19;Length in kms,canals,Gross and Gross Net Area Irrigated
354;4;Agriculture, Horticulture & Sericulture;4.2;Gross and Net area Irrigated under different Sources 2018-19;Gross Irrigated Area,canals,Gross and Gross Net Area Irrigated
355;4;Agriculture, Horticulture & Sericulture;4.2;Gross and Net area Irrigated under different Sources 2018-19;Gross Net Area Irrigated,canals,Gross and Gross Net Area Irrigated
356;4;Agriculture, Horticulture & Sericulture;4.2;Gross and Net area Irrigated under different Sources 2018-19;Nos,Tanks,Gross and Gross Net Area Irrigated
357;4;Agriculture, Horticulture & Sericulture;4.2;Gross and Net area Irrigated under different Sources 2018-19;Gross Irrigated Area,Tanks,Gross and Gross Net Area Irrigated
358;4;Agriculture, Horticulture & Sericulture;4.2;Gross and Net area Irrigated under different Sources 2018-19;Gross Net Area Irrigated,Tanks,Gross and Gross Net Area Irrigated
