Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
318;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Working,Raingauge Stations
319;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Under Repair,Raingauge Stations
320;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Total,Raingauge Stations
321;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Rainy Days,Annual Normal Rainfall 1961-2010
322;3;Rainfall;3.1;No. of Raingauge Stations Annual Normal Rainfall and Rainy Days;Normal Rainfall,Annual Normal Rainfall 1961-2010
323;3;Rainfall;3.2;Actual Annual Rainfall;2009,Actual Annual Rainfall from 2009 to 2019 mm
324;3;Rainfall;3.2;Actual Annual Rainfall;2010,Actual Annual Rainfall from 2009 to 2019 mm
325;3;Rainfall;3.2;Actual Annual Rainfall;2011,Actual Annual Rainfall from 2009 to 2019 mm
326;3;Rainfall;3.2;Actual Annual Rainfall;2012,Actual Annual Rainfall from 2009 to 2019 mm
327;3;Rainfall;3.2;Actual Annual Rainfall;2013,Actual Annual Rainfall from 2009 to 2019 mm
328;3;Rainfall;3.2;Actual Annual Rainfall;2014,Actual Annual Rainfall from 2009 to 2019 mm
329;3;Rainfall;3.2;Actual Annual Rainfall;2015,Actual Annual Rainfall from 2009 to 2019 mm
330;3;Rainfall;3.2;Actual Annual Rainfall;2016,Actual Annual Rainfall from 2009 to 2019 mm
331;3;Rainfall;3.2;Actual Annual Rainfall;2017,Actual Annual Rainfall from 2009 to 2019 mm
332;3;Rainfall;3.2;Actual Annual Rainfall;2018,Actual Annual Rainfall from 2009 to 2019 mm
333;3;Rainfall;3.2;Actual Annual Rainfall;2019,Actual Annual Rainfall from 2009 to 2019 mm
