Indicator_id;Chap_count;Tab_count;Filter_count;Rank_count
5.6.2;505;538;334;549
14.6.1;476;538;327;546
12.5.1;471;534;418;537
4.7.1;463;529;305;568
1.4.1;429;480;335;490
15.9.2;428;457;278;475
2.8.1;423;475;311;482
3.10.1;422;481;338;487
2.3.1;420;489;418;493
14.4.1;393;405;369;415
14.9.1;393;444;302;472
11.2.1;390;417;270;431
2.4.1;381;433;407;439
14.8.1;380;406;283;423
3.1.2;371;427;267;435
2.5.2;362;469;230;482
16.4.1;356;377;270;389
14.2.1;353;441;441;460
3.7.2;344;437;269;448
9.8.1;344;459;290;477
2.4.2;339;406;219;414
10.3.1;338;358;223;379
12.4.1;334;412;269;445
12.3.1;329;376;259;409
11.3.1;325;362;317;365
5.7.1;324;345;345;401
10.4.1;321;368;200;380
1.1.1;319;370;238;378
15.6.1;318;391;247;410
4.8.1;314;382;258;396
11.1.1;311;343;343;364
11.4.1;309;448;243;470
17.1.1;308;361;218;399
14.11.1;307;319;319;355
11.8.1;306;312;312;344
4.5.1;304;504;316;551
8.4.1;301;336;336;341
5.5.1;294;343;215;363
11.7.1;291;389;227;404
6.7.1;290;331;331;364
4.4.1;289;320;320;324
14.12.1;288;350;350;356
14.7.2;288;350;243;356
2.7.1;287;336;336;343
4.9.1;286;295;295;301
15.3.2;286;364;204;400
14.4.2;284;375;52;398
12.1.1;284;356;239;375
11.10.1;277;328;328;341
14.1.1;269;346;346;349
15.1.3;269;333;134;373
14.3.1;269;342;342;343
14.2.2;269;383;47;395
15.2.3;267;319;133;361
11.9.1;261;318;318;333
7.1.1;261;297;201;306
15.4.2;260;281;73;307
11.3.2;258;296;90;330
11.6.2;256;385;208;413
3.10.2;256;275;195;278
3.3.3;252;335;204;363
6.6.1;252;378;232;398
9.1.2;250;394;241;412
4.10.1;249;282;282;367
16.2.1;248;304;304;315
17.2.1;247;348;211;356
17.2.2;247;327;200;339
9.7.1;245;306;306;312
2.3.2;245;348;72;353
4.3.1;242;294;294;315
2.6.1;242;300;300;314
9.4.1;241;299;299;308
8.6.1;236;290;290;301
15.4.1;228;274;264;288
8.8.2;224;305;191;346
1.2.2;223;283;160;326
1.3.1;221;276;276;361
7.4.1;220;290;290;296
2.4.3;220;243;51;247
15.1.2;217;261;163;276
8.3.1;206;277;277;289
15.5.1;185;212;212;316
3.4.2;184;239;239;255
15.2.1;180;235;213;272
4.2.2;174;212;212;239
3.11.1;172;235;235;236
12.7.1;170;177;177;226
15.7.1;164;264;264;331
15.6.2;163;188;131;206
15.2.2;159;184;145;269
6.1.1;152;193;193;211
6.2.1;152;205;205;212
5.9.1;150;226;226;317
8.5.1;150;270;187;297
1.6.1;146;186;186;239
8.8.1;144;194;185;204
3.3.4;143;171;94;181
8.11.1;142;208;208;220
12.9.1;142;212;212;244
5.6.1;141;154;148;244
3.12.1;137;185;185;206
6.8.1;133;155;155;192
5.1.1;133;159;159;257
2.5.1;131;211;203;285
2.2.1;131;208;208;278
9.1.1;126;133;94;160
2.1.1;126;139;139;147
3.5.1;124;147;147;161
8.9.1;121;173;173;207
9.5.2;117;168;168;187
16.3.1;117;180;180;200
5.8.1;117;192;192;198
13.2.1;116;186;186;236
5.3.1;110;155;155;244
10.1.1;107;132;132;216
14.10.1;105;141;141;159
12.6.1;104;167;167;188
8.10.2;104;151;151;208
3.6.1;102;261;261;347
4.2.1;102;138;138;223
5.2.1;101;173;173;213
12.2.1;97;147;147;166
14.7.1;96;121;119;135
9.3.2;94;116;116;152
2.1.2;93;178;178;197
3.4.1;90;90;90;97
3.3.1;89;130;130;134
1.2.1;89;131;107;136
4.6.1;89;271;271;377
15.1.1;89;126;123;172
5.4.1;87;129;129;142
10.2.1;85;110;110;191
8.2.1;84;146;146;159
6.5.1;84;129;129;178
8.1.1;84;137;137;148
8.5.2;82;92;52;94
4.1.1;75;139;139;216
7.1.2;74;100;76;111
7.5.1;74;131;131;137
3.8.2;74;119;119;130
15.9.1;70;83;61;103
12.3.2;70;86;70;107
3.7.1;70;116;107;121
3.1.1;70;76;64;94
9.3.1;69;69;69;110
15.8.1;69;159;159;184
9.5.1;68;109;109;114
6.3.2;66;102;102;190
13.3.1;66;99;99;164
15.3.1;65;218;156;320
9.2.2;64;74;74;79
7.3.1;61;133;133;146
3.8.1;58;140;140;169
3.2.2;56;66;66;86
3.2.1;56;56;56;75
9.6.1;56;102;102;104
6.4.2;56;60;60;110
2.2.2;56;130;130;200
11.7.2;55;86;65;178
16.1.1;54;129;129;143
6.3.1;54;63;63;79
11.5.1;53;53;53;138
1.5.1;53;53;53;138
13.1.1;53;53;53;138
16.5.1;52;69;69;75
7.2.1;49;55;55;57
5.5.2;48;60;60;68
3.9.1;45;50;50;127
3.3.2;45;45;45;45
12.8.1;42;42;42;132
8.7.1;39;81;81;91
5.2.2;39;81;81;220
3.6.2;39;73;73;157
5.3.2;39;66;66;194
11.6.1;38;73;73;154
6.4.1;35;69;69;94
2.8.2;31;62;60;92
8.10.1;29;126;126;141
14.5.1;18;28;28;34
