10;Chikkamagaluru;26;1458;12;856;38;2314.0;13;1065;7;1033;20;2098;0;0;0;0;0;0;0;0;0;0;0;0;3;140;4;256;7;396;0;0;1;124;1;124;0;0;0;0;0;0;0;0;0;0;0;0;39;1820;20;1285;59;3105;13;1425;28;3090;41;4515;2;280;2;120;4;400;0;0;0;0;0;0;2;161;12;1089;1;125;0;0;0;0;0;0;2;100;2;150;4;250;0;0;0;0;0;0;7232;7846;15078;1674;1864;3538;1559;1632;3191;214;235;449;13110;13286;26396;4872;3839;8711;1711;2003;3714
11;Dakshina Kannada;11;507;8;440;19;947.0;5;434;5;477;10;911;0;0;0;0;0;0;0;0;0;0;0;0;6;214;3;120;9;334;3;185;2;189;5;374;0;0;0;0;0;0;0;0;0;0;0;0;13;560;11;595;24;1155;17;1615;32;3570;49;5185;0;0;0;0;0;0;0;0;0;0;0;0;1;88;12;822;0;0;0;0;0;0;0;0;1;125;5;325;6;450;4;375;5;131;9;506;5359;5223;10582;1171;1316;2487;3249;3085;6334;420;445;865;23286;22937;46223;5969;5941;11910;27102;32267;59369
12;Udupi;9;330;6;218;15;548.0;3;204;4;210;7;414;0;0;0;0;0;0;0;0;0;0;0;0;2;138;1;51;3;189;3;163;2;141;5;304;0;0;0;0;0;0;0;0;0;0;0;0;12;558;6;271;18;829;9;836;14;1379;23;2215;2;92;0;0;2;92;0;0;0;0;0;0;0;0;4;322;0;0;0;0;0;0;0;0;1;28;1;70;2;98;1;23;0;0;1;23;3104;3187;6291;732;773;1505;2164;2202;4366;722;743;1465;18474;19109;37583;7374;9441;16815;3629;4407;8036
13;Hassan;42;2387;17;1273;59;3660.0;14;1898;15;2292;29;4190;42;2387;17;1273;59;3660;14;1898;15;2292;29;4190;3;160;0;0;3;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;2665;13;725;66;3390;26;2755;24;2680;50;5435;5;160;0;0;5;160;0;0;0;0;0;0;5;263;1;100;0;0;0;0;3;150;3;150;5;265;3;185;8;450;0;0;2;59;2;59;12294;12871;25165;2672;3084;5756;1040;1210;2250;209;264;473;24199;25849;50048;7105;8300;15405;0;0;0
14;Kodagu;10;327;7;261;17;588.0;2;61;2;126;4;187;0;0;0;0;0;0;0;0;0;0;0;0;4;100;4;146;8;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;454;5;211;19;665;8;580;11;814;19;1394;0;0;0;0;0;0;0;0;0;0;0;0;1;53;13;1511;0;0;0;0;0;0;0;0;1;75;1;46;2;121;0;0;0;0;0;0;3336;2351;5687;409;474;883;1665;1737;3402;460;546;1006;4415;4552;8967;2283;2462;4745;1410;1486;2896
15;Mandya;33;2302;13;1180;46;3482.0;11;990;10;945;21;1935;1;48;0;0;1;48;1;60;0;0;1;60;1;60;0;0;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;2477;16;749;65;3226;23;2334;21;2138;44;4472;6;604;0;0;6;604;2;75;0;0;2;75;0;0;1;60;1;18;0;0;0;0;0;0;3;150;2;100;5;250;1;44;0;0;1;44;6574;6893;13467;1444;1797;3241;617;631;1248;76;100;176;30045;29098;59143;9486;10106;19592;5255;5615;10870
16;Mysuru;36;1941;11;659;47;2600.0;15;1518;15;2291;30;3809;5;325;0;0;5;325;0;0;0;0;0;0;11;551;7;348;18;899;3;276;2;356;5;632;0;0;0;0;0;0;0;0;0;0;0;0;37;1615;6;260;43;1875;25;2833;24;2600;49;5433;4;460;1;100;5;560;0;0;0;0;0;0;0;0;21;2516;2;100;0;0;0;0;0;0;5;250;4;275;9;525;4;1561;0;0;4;1561;18325;18897;37222;4681;5126;9807;11701;12158;23859;2522;2636;5158;32839;35542;68381;14832;15366;30198;19568;14311;33879
17;Chamarajanagara;29;1491;11;549;40;2040.0;10;407;10;434;20;841;3;304;0;0;3;304;3;579;0;0;3;579;4;166;3;134;7;300;1;70;3;132;4;202;1;0;0;0;1;0;0;0;0;0;0;0;10;430;2;95;12;525;7;750;12;1240;19;1990;4;175;2;100;6;275;0;0;0;0;0;0;0;0;20;1134;0;0;0;0;0;0;0;0;2;82;1;45;3;127;0;0;0;0;0;0;10040;9785;19825;2327;2379;4706;3543;3465;7008;1368;1323;2691;16103;16083;32186;4301;4501;8802;5604;5102;10706
18;Belagavi;51;3510;15;1217;66;4727.0;19;1747;9;675;28;2422;3;220;1;100;4;320;0;0;0;0;0;0;6;387;2;165;8;552;4;282;1;59;5;341;1;100;1;30;2;130;0;0;0;0;0;0;88;4645;12;600;100;5245;26;2815;30;3225;56;6040;4;181;1;25;5;206;0;0;0;0;0;0;3;369;3;475;16;4010;1;50;0;0;1;50;9;525;3;250;12;775;8;551;0;0;8;551;23951;24455;48406;6898;7258;14156;15648;16277;31925;3102;3002;6104;95705;100817;196522;26629;27911;54540;33598;32283;65881
19;Vijayapura;47;4590;10;1261;57;5851.0;9;2634;6;885;15;3519;15;626;0;0;15;626;5;225;0;0;5;225;0;0;1;115;1;115;0;0;1;155;1;155;0;0;0;0;0;0;0;0;0;0;0;0;52;2985;12;625;64;3610;13;1385;24;2515;37;3900;29;1378;0;0;29;1378;1;25;0;0;1;25;1;125;1;100;0;0;3;150;1;50;4;200;6;325;2;200;8;525;5;256;0;0;5;256;26452;26525;52977;5129;4870;9999;1618;1525;3143;388;285;673;26555;29270;55825;9024;9803;18827;20632;23693;44325
20;Bagalkot;31;2433;9;803;40;3236.0;9;1343;6;618;15;1961;2;100;0;0;2;100;0;0;0;0;0;0;1;50;0;0;1;50;2;175;1;75;3;250;0;0;0;0;0;0;0;0;0;0;0;0;36;2445;7;395;43;2840;18;2140;21;2515;39;4655;18;742;0;0;18;742;1;75;1;75;2;150;3;375;0;0;0;0;0;0;5;250;5;250;7;425;4;275;11;700;1;50;0;0;1;50;19346;19549;38895;3474;3870;7344;5847;5637;11484;1239;1283;2522;44648;44961;89609;47824;31882;79706;15129;13587;28716
21;Dharwad;9;600;5;350;14;950.0;11;1343;5;550;16;1893;4;132;1;21;5;153;1;42;0;0;1;42;0;0;0;0;0;0;2;200;1;75;3;275;0;0;0;0;0;0;0;0;0;0;0;0;19;955;7;290;26;1245;18;2100;23;2325;41;4425;4;615;0;0;4;615;0;0;0;0;0;0;1;125;0;0;0;0;2;390;2;390;4;780;4;250;4;375;8;625;0;0;0;0;0;0;5564;5130;10694;4739;4091;8830;3291;2247;5538;3225;1509;4734;21221;20567;41788;10250;9594;19844;11752;7401;19153
22;Gadag;21;1312;5;468;26;1780.0;10;1253;5;811;15;2064;3;164;1;50;4;214;4;206;0;0;4;206;2;94;0;0;2;94;2;134;1;95;3;229;1;50;0;0;1;50;0;0;0;0;0;0;26;1463;8;460;34;1923;11;1210;17;1865;28;3075;14;621;1;25;15;646;3;155;0;0;3;155;1;111;1;101;0;0;0;0;1;50;1;50;3;175;2;125;5;300;2;105;0;0;2;105;8143;7950;16093;1563;1585;3148;3372;3149;6521;515;561;1076;24021;18291;42312;9411;6718;16129;4225;3932;8157
23;Haveri;29;1996;8;836;37;2832.0;13;1287;8;701;21;1988;1;130;1;50;2;180;1;175;0;0;1;175;4;300;0;0;4;300;2;125;2;150;4;275;0;0;0;0;0;0;0;0;0;0;0;0;37;1945;9;500;46;2445;10;1115;19;2040;29;3155;11;615;2;80;13;695;0;0;0;0;0;0;7;873;2;250;0;0;1;50;0;0;1;50;6;375;3;200;9;575;0;0;0;0;0;0;8177;8683;16860;1911;1809;3720;5816;5573;11389;1408;1251;2659;23366;22932;46298;9226;8721;17947;16617;19164;35781
24;Uttara Kannada;17;784;9;457;26;1241.0;4;235;2;185;6;420;0;0;1;89;1;89;0;0;0;0;0;0;1;62;0;0;1;62;0;0;1;20;1;20;0;0;0;0;0;0;0;0;0;0;0;0;46;2411;22;1415;68;3826;12;1275;21;2180;33;3455;1;50;1;30;2;80;0;0;0;0;0;0;3;216;1;32;0;0;0;0;0;0;0;0;3;150;1;0;4;150;2;165;1;50;3;215;4947;4191;9138;1119;877;1996;1619;1486;3105;201;171;372;32047;31249;63296;8001;8100;16101;6970;6405;13375
25;Ballari;46;5321;15;2400;61;7721.0;28;4960;13;2033;41;6993;2;95;0;0;2;95;0;0;0;0;0;0;10;902;2;186;12;1088;12;2195;7;1159;19;3354;0;0;0;0;0;0;3;225;0;0;3;225;44;3034;15;920;59;3954;33;3490;23;2325;56;5815;4;300;0;0;4;300;1;25;1;59;2;84;1;125;3;500;0;0;1;50;2;100;3;150;7;425;5;275;12;700;2;150;2;95;4;245;36787;24514;61301;6088;3718;9806;33811;16652;50463;5199;2559;7758;28418;30012;58430;13390;8734;22124;15063;12353;27416
26;Bidar;34;2289;9;740;43;3029.0;11;1223;7;594;18;1817;6;282;0;0;6;282;0;0;0;0;0;0;2;125;2;100;4;225;3;150;1;50;4;200;1;25;0;0;1;25;0;0;0;0;0;0;37;2052;8;415;45;2467;18;2000;14;1485;32;3485;5;395;1;50;6;445;0;0;0;0;0;0;6;367;0;0;0;0;1;50;1;50;2;100;7;475;7;450;14;925;5;250;1;75;6;325;12892;14448;27340;2824;3546;6370;8856;9232;18088;2628;2884;5512;10944;12533;23477;3638;4188;7826;2094;2115;4209
27;Kalburgi;62;4405;10;760;72;5165.0;20;3201;12;1448;32;4649;20;1551;2;100;22;1651;3;150;0;0;3;150;3;168;0;0;3;168;1;120;1;85;2;205;0;0;0;0;0;0;0;0;0;0;0;0;59;3210;14;710;73;3920;27;2750;28;2850;55;5600;22;1390;1;50;23;1440;1;25;0;0;1;25;7;847;0;0;1;125;5;250;3;175;8;425;21;1325;16;1000;37;2325;0;0;1;150;1;150;26577;25142;51719;6579;5029;11608;1317;950;2267;160;91;251;24488;22883;47371;6979;6639;13618;29505;23805;53310
28;Yadgir;32;2040;6;335;38;2375.0;10;1050;4;150;14;1200;12;1015;0;0;12;1015;4;350;0;0;4;350;1;50;2;110;3;160;1;50;2;100;3;150;1;50;0;0;1;50;1;50;0;0;1;50;34;1826;10;515;44;2341;9;995;12;959;21;1954;11;336;5;42;16;378;4;229;3;172;7;401;2;250;2;250;0;0;0;0;1;50;1;50;5;375;4;250;9;625;2;110;0;0;2;110;17246;11451;28697;3978;2207;6185;12510;7335;19845;2080;1802;3882;13354;13942;27296;1489;1417;2906;6456;6661;13117
29;Raichur;35;3858;11;1206;46;5064.0;16;2780;11;1544;27;4324;1;50;0;0;1;50;1;25;0;0;1;25;5;625;5;500;10;1125;5;1420;5;850;10;2270;0;0;0;0;0;0;0;0;0;0;0;0;32;1820;6;420;38;2240;13;1465;17;1860;30;3325;5;301;1;100;6;401;0;0;1;50;1;50;7;875;3;375;0;0;0;0;1;75;1;75;10;600;4;275;14;875;0;0;0;0;0;0;21630;21343;42973;3556;3343;6899;21630;21343;42973;3556;3343;6899;25809;27452;53261;6027;6808;12835;12184;13953;26137
30;Koppal;26;2913;7;1147;33;4060.0;8;1351;6;847;14;2198;0;0;0;0;0;0;0;0;0;0;0;0;5;693;2;417;7;1110;4;797;3;506;7;1303;0;0;0;0;0;0;0;0;0;0;0;0;34;2230;8;495;42;2725;9;1180;16;1820;25;3000;10;602;0;0;10;602;0;0;0;0;0;0;1;112;2;276;1;125;3;150;2;100;5;250;6;350;2;150;8;500;0;0;0;0;0;0;12442;12121;24563;2355;2146;4501;9036;8472;17508;1594;1357;2951;29214;30415;59629;6753;6939;13692;12210;9664;21874
