1;2;917;918;919;920;921;922;923;924;925;926;927;928;929;930;931;932;933;934;935;936;937;938;939;940;941;942;943;944;945;946;947;948
20;Bagalkot;76;9;120598.71;7666.36;11397.64;24101.93;163764.64;203008.01;125;126;35627.50;2427.10;3351.80;13371.50;54777.90;63834.86;0;0;0.00;0.00;0.00;0.00;0.00;0.00;52;78;10605.00;1129.80;1625.80;4241.90;17602.50;12437.61
21;Dharwad;76;16;4824.61;25.75;2102.25;6019.45;12972.06;466091.00;195;333;38639.21;19319.59;14489.69;24149.50;96597.99;152636.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;77;117;15258.42;7629.20;5721.90;9536.50;38146.02;60273.00
22;Gadag;81;8;111403.27;6120.00;9541.00;20323.00;147387.27;151193.60;76;104;91415.72;10092.00;2489.00;136359.00;240355.72;351674.47;0;0;0.00;0.00;0.00;0.00;0.00;0.00;19;23;5652.01;626.97;327.85;36371.80;42978.63;60779.17
23;Haveri;78;10;93112.51;0.00;0.00;64984.12;158096.63;160398.06;90;106;191920.00;53965.05;53490.00;25350.00;324725.05;353707.34;0;0;0.00;0.00;0.00;0.00;0.00;0.00;38;55;60633.01;21752.00;27733.98;7711.00;117829.99;111010.69
24;Uttara Kannada;46;5;4692.40;383.40;12178.60;10213.90;27468.30;92060.00;180;230;68387.00;76376.00;73420.00;41055.00;259238.00;1101473.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;41;49;5378.00;8487.00;15856.00;17595.00;47316.00;173237.00
25;Ballari;104;49;258945.00;21731.00;12494.00;29108.00;322278.00;454797.00;165;256;181696.00;222645.00;143829.00;215747.00;763917.00;972168.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;61;109;83055.00;46861.00;51989.00;77989.00;259894.00;359328.00
26;Bidar;54;16;40674.00;6819.00;9208.00;2522.00;59223.00;80726.00;90;168;145269.00;46442.00;53717.00;39526.00;284954.00;380596.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;17;42;25758.00;7695.00;10662.00;9131.00;53246.00;82235.00
27;Kalburgi;91;22;75890.62;0.00;26733.77;62379.40;165003.79;245167.00;137;238;600729.00;120144.80;90108.90;90198.90;901181.60;958179.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;29;72;15558.00;11525.00;4008.00;5305.00;36396.00;125170.00
28;Yadgir;36;12;32487.00;14651.00;9555.00;7008.00;63701.00;55378.26;64;48;84087.00;37922.00;24731.00;18136.00;164876.00;189489.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;23;28;30436.00;13724.00;8952.00;6564.00;59676.00;57100.00
29;Raichur;67;31;26351.24;520.00;14329.00;10345.48;51545.72;155611.72;119;149;64043.76;17230.38;38476.11;31247.23;150997.48;473423.00;0;0;0.00;0.00;0.00;0.00;0.00;0.00;41;36;10936.16;214.17;17460.76;4306.88;32917.97;113028.00
30;Koppal;51;13;26705.00;5400.00;11500.00;1895.00;45500.00;140037.68;78;67;89459.00;18416.00;37270.00;5555.00;150700.00;279135.99;0;0;0.00;0.00;0.00;0.00;0.00;0.00;23;22;12754.00;6015.00;7914.00;910.00;27593.00;58069.20
