Target_id;Chap_count;Tab_count;Filter_count;Rank_count
10.3;542;578;342;606
2.6;502;541;377;597
11.8;469;553;327;575
1.4;440;495;318;516
3.6;436;458;305;467
3.10;426;533;367;558
15.7;425;503;321;521
14.6;420;444;286;460
4.8;414;445;284;451
15.9;413;440;264;452
13.3;405;428;266;442
4.9;403;473;309;480
4.4;399;505;306;520
12.5;398;430;317;435
11.4;384;510;298;520
4.3;377;419;260;435
11.1;376;395;294;407
16.5;374;382;282;390
5.7;371;429;286;454
15.6;367;411;258;421
2.5;359;481;329;497
16.3;356;404;300;417
6.2;354;416;299;484
2.3;350;387;291;405
5.8;345;353;253;359
13.1;344;426;297;466
9.4;343;409;293;416
10.2;341;375;218;381
3.9;335;403;280;430
12.4;335;377;222;395
4.5;333;388;220;393
14.9;331;358;252;374
16.4;329;380;270;396
8.10;326;343;343;417
3.11;323;343;343;345
14.4;323;417;280;421
14.1;323;438;293;445
11.9;323;378;266;382
11.6;320;327;327;357
15.4;315;349;349;366
6.1;315;382;267;400
15.3;308;418;247;429
12.7;303;303;303;325
9.8;301;333;333;338
5.6;298;374;288;418
2.8;297;310;310;321
15.8;293;315;315;331
14.2;287;357;245;376
2.7;276;286;286;303
14.7;273;322;322;328
8.9;271;314;314;319
8.3;267;355;262;368
4.2;266;296;296;339
7.2;266;306;306;309
8.11;263;278;278;294
1.2;258;350;350;367
17.1;257;456;278;466
8.6;257;288;288;295
14.8;256;296;296;301
4.10;248;299;299;303
14.10;246;297;297;303
2.2;243;325;325;391
14.11;239;274;274;279
10.4;231;276;276;289
5.2;225;341;341;406
12.9;223;248;248;253
2.4;220;385;239;394
6.4;217;265;265;293
14.3;208;286;286;289
16.1;206;262;262;272
4.1;204;330;330;345
9.3;196;202;202;244
1.3;192;314;314;317
5.4;192;338;338;394
6.8;179;322;322;355
5.3;174;199;199;314
3.7;171;175;175;219
4.7;170;196;196;274
5.5;163;235;235;259
16.2;161;254;254;274
11.5;149;283;283;360
12.8;147;209;209;217
10.1;144;189;189;201
4.6;143;241;241;279
3.12;142;195;195;235
11.2;132;161;161;198
6.7;131;162;162;174
7.3;130;182;182;195
9.2;121;174;174;243
7.5;112;152;152;159
12.3;111;131;131;178
12.6;110;200;200;206
5.9;108;244;244;348
12.1;105;188;188;225
9.5;105;255;255;291
12.2;103;213;213;228
3.4;102;171;171;182
7.1;96;272;272;277
3.3;91;136;136;139
9.6;89;109;109;133
3.2;89;113;113;196
8.4;88;205;205;286
9.7;88;110;110;141
6.5;84;208;208;247
11.3;84;109;109;147
14.12;84;120;120;151
13.2;82;86;86;105
17.2;82;137;137;169
8.7;80;140;140;245
7.4;77;121;121;123
8.8;75;123;123;160
3.5;71;98;98;118
8.2;67;134;134;164
9.1;61;102;102;121
8.5;60;86;86;172
3.8;59;129;129;147
15.1;59;108;108;127
1.6;56;143;143;159
11.7;54;133;133;177
1.1;52;58;58;136
14.5;48;229;229;267
5.1;47;109;109;236
3.1;44;95;95;109
15.5;41;138;138;144
6.6;39;58;58;71
11.10;36;72;72;99
2.1;35;74;74;171
6.3;33;41;41;54
15.2;32;102;102;117
1.5;27;202;202;208
8.1;26;65;65;141
