Attr_id;Chapter_id;Chapter_name;Table_id;Table_name;Description
937;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;Beneficiaries under Bhagyajyoti kutera jyoti upto 31-3-2017
938;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;Villages,Electrified upto 31-03-2017 cumulative
939;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;Hamlets,Electrified upto 31-03-2017 cumulative
940;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;I.P.Sets,Electrified upto 31-03-2017 cumulative
941;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;Villages,Non Electrified upto 31-03-2017 cumulative
942;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;Hamlets,Non Electrified upto 31-03-2017 cumulative
943;16;Energy;16.1;No.of Electrified Villages Hamlets & Ip Sets 2016-17 Nos;I.P.Sets,Non Electrified upto 31-03-2017 cumulative
944;16;Energy;16.2;Sectorwise Electricity Consumers on In Nos;Domestic
945;16;Energy;16.2;Sectorwise Electricity Consumers on In Nos;Industrial
946;16;Energy;16.2;Sectorwise Electricity Consumers on In Nos;Commercial Consumption
947;16;Energy;16.2;Sectorwise Electricity Consumers on In Nos;I.P.Sets
948;16;Energy;16.2;Sectorwise Electricity Consumers on In Nos;Others including Street Lights
949;16;Energy;16.2;Sectorwise Electricity Consumers on In Nos;Total
950;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Domestic,Electricity Consumption in Million units
951;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Industry,Electricity Consumption in Million units
952;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Commercial,Electricity Consumption in Million units
953;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Sets,Electricity Consumption in Million units
954;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Street Lights,Electricity Consumption in Million units
955;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Others,Electricity Consumption in Million units
956;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Total,Electricity Consumption in Million units
957;16;Energy;16.3;Sectorwise Electricity Consumption Year 2016-17;Income from electricity consumption Rs. in lakh
