10;Chikkamagaluru;335601;283920;619521;102656.0;96168;198824;438257;380088;818345;83.82;70.15;76.95;91.40;84.51;87.93;85.41;73.16;79.25;8;732;36613;34804;71417;899;23331;21735;45066;354;14485;13860;28345;116483;3701;2467;6168;19;28345;1642;1095;2737;10;59944;56539;116483;15;4;19;0.02;1631;1629;1629;1587;973;723;1550;1631;1494;665;354;353;353;332;287;97;329;354;331;354;90;534;271;4371;5619;1325;1761;1945;2100;7641;9480;14;4575;5733;10308;3;416;1061;1477;1.95;0;0;0;0;1;75;240;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;482;274;756;2;372;120;492;0;0;0;0;1;1402;974;2376
11;Dakshina Kannada;437028;394198;831226;426991.0;408106;835097;864019;802304;1666323;90.97;79.83;85.33;95.50;88.83;92.12;93.13;84.13;88.57;1;298;4859;4425;9284;1209;119299;110852;230151;576;43425;39566;82991;239435;1787;6485;8272;29;82991;1504;3821;5325;16;127208;118537;245745;22;18;40;0.02;1507;1507;1507;1507;1318;1507;1295;1507;1507;1454;576;576;576;576;502;576;451;576;576;576;209;1130;1196;4653;6727;12041;11340;14577;14598;31271;32665;19;2800;7016;9816;22;9195;14471;23666;5.53;0;0;0;0;12;1033;2973;4006;0;0;0;0;8;4885;6400;11285;0;0;0;0;6;796;2117;2913;3;1401;838;2239;9;4009;284;4293;1;4520;1262;5782;18;10368;5904;16272
12;Udupi;324309;320937;645246;141395.0;139788;281183;465704;460725;926429;89.85;78.65;83.91;95.22;89.21;92.13;91.41;81.58;86.24;3;252;40389;37961;78350;697;26127;23511;49638;303;16844;15299;32143;127988;494;3642;4136;31;32143;682;1781;2463;13;66516;61472;127988;8;4;12;0.01;949;949;949;938;791;838;719;949;871;298;303;303;303;298;282;194;250;303;282;92;106;520;608;4426;5326;3564;3664;5749;5755;13739;14745;12;2730;5765;8495;11;1954;3313;5267;2.27;0;0;0;0;6;313;693;1006;0;0;0;0;1;855;1033;1888;0;0;0;0;1;193;461;654;2;708;110;818;4;1520;290;1810;0;0;0;0;4;11990;4964;16954
13;Hassan;513580;411991;925571;155256.0;144429;299685;668836;556420;1225256;81.41;64.29;72.79;91.94;84.81;88.36;83.64;68.60;76.07;11;1286;55305;52114;107419;1333;33803;33250;67053;569;22008;21348;43356;174472;6053;5972;12025;15;43356;3513;1968;5481;8;89154;85403;174557;27;17;44;0.03;2619;2615;2619;2570;1481;1272;2379;2622;1176;362;569;569;569;542;465;135;506;569;520;569;171;746;333;3306;4967;1216;1065;2934;3409;7456;9441;29;6514;11636;18150;6;1146;2144;3290;3.54;1;375;304;679;2;123;309;432;1;212;157;369;0;0;0;0;0;0;0;0;1;20;39;59;4;541;680;1221;6;541;191;732;1;103;116;219;4;1837;1455;3292
14;Kodagu;180920;165141;346061;34382.0;32434;66816;215302;197575;412877;85.90;76.30;81.00;94.40;88.50;91.40;87.10;78.10;82.60;5;520;19036;18093;37129;391;11720;11381;23101;189;7716;7407;15123;60230;1101;2049;3150;19;15123;351;715;1066;14;30756;29474;60230;57;39;96;0.16;911;532;532;519;429;532;491;532;532;336;189;189;189;181;166;50;170;189;176;115;65;245;301;1359;1983;1230;1160;2615;2780;5204;5923;6;881;1116;1997;2;394;476;870;0.47;0;0;0;0;0;0;0;0;1;336;264;600;0;0;0;0;0;0;0;0;1;67;183;250;1;472;426;898;1;182;28;210;1;472;426;898;1;356;236;592
15;Mandya;517904;401385;919289;120764.0;109596;230360;638668;510981;1149649;76.34;59.21;67.78;87.78;78.75;83.24;78.27;62.54;70.40;20;845;54472;49635;104107;1185;34522;31949;66471;495;22304;20246;42550;170578;4177;3733;7910;22;42550;1968;1627;3595;12;90854;82999;173853;34;16;50;0.03;2030;2030;2030;2030;1057;1603;1943;2030;2030;689;495;495;495;495;405;317;436;495;495;906;159;786;444;5421;7126;3881;3563;3975;4780;13277;15469;15;3100;6811;9911;8;1777;2041;3818;2.27;0;0;0;0;0;0;0;0;1;201;181;382;1;219;255;474;0;0;0;0;0;0;0;0;3;526;186;712;3;331;72;403;1;70;81;151;4;820;630;1450
16;Mysuru;560734;433936;994670;503032.0;464478;967510;1063766;898414;1962180;70.64;55.78;63.29;89.50;82.67;86.09;78.46;67.06;72.79;18;1041;110772;104086;214858;1658;69138;66566;135704;764;43793;41167;84960;350562;5902;5777;11679;30;84960;2327;2114;4441;19;180322;170693;351015;33;23;56;0.02;2699;1890;1891;1891;839;1106;1776;1892;1772;169;764;232;232;232;200;232;205;226;215;226;258;1470;1003;11257;14113;6018;6433;13101;13286;30376;33832;23;8316;18660;26976;13;3302;2620;5922;5.44;2;173;324;497;1;91;265;356;1;301;186;487;1;85;65;150;0;0;0;0;2;202;447;649;2;455;218;673;9;1166;542;1708;0;0;0;0;12;2098;1703;3801
17;Chamarajanagara;247909;194351;442260;65048.0;57971;123019;312957;252322;565279;64.80;51.06;57.95;83.29;73.64;78.39;67.93;54.92;61.43;28;397;32333;30634;62967;575;20323;19266;39589;229;12165;11718;23883;102556;1432;1344;2776;37;23883;699;274;973;25;48749;46862;95611;264;136;400;0.42;972;972;972;950;550;372;850;972;935;228;229;229;229;223;209;46;214;229;221;125;65;336;194;2689;3126;377;1338;3024;2900;6090;7364;9;2198;1577;3775;4;235;1897;2132;0.98;1;323;270;593;0;0;0;0;1;155;149;304;0;0;0;0;0;0;0;0;0;0;0;0;1;544;203;747;1;46;6;52;1;466;300;766;1;55;52;107
18;Belagavi;1233802;900990;2134792;491746.0;425494;917240;1725548;1326484;3052032;79.12;59.20;69.28;91.10;79.95;85.56;82.20;64.58;73.48;17;1582;128464;119222;247686;2844;235013;220982;455995;1109;99515;90999;190514;703681;11608;10387;21995;32;190514;6130;3152;9282;21;375624;346598;722222;66;66;132;0.02;4426;4426;4426;4084;3383;2189;3935;4426;3797;557;1109;1109;1109;980;989;389;1001;1109;990;794;330;1399;517;9713;9349;15624;13943;27158;17843;52495;41135;20;6669;6174;12843;146;29441;23915;53356;10.94;0;0;0;0;11;1035;859;1894;1;234;146;380;1;100;100;200;0;0;0;0;1;37;111;148;2;317;219;536;17;2098;586;2684;0;0;0;0;12;11189;6256;17445
19;Vijayapura;538400;355732;894132;192166.0;161970;354136;730566;517702;1248268;74.03;51.10;62.81;87.80;74.79;81.33;77.21;56.72;67.15;26;1258;147568;130791;278359;1593;73746;69866;143612;592;41974;35158;77132;421971;8054;5945;13999;30;77132;3200;1098;4298;18;221287;200657;421944;33;35;68;0.02;2851;2543;2723;2085;1881;2602;1953;2447;1732;1301;592;592;592;572;551;556;484;573;522;452;221;1047;151;5464;3399;11114;8961;8943;7592;25521;19952;11;2938;2048;4986;105;23897;15302;39199;7.30;0;0;0;0;5;670;836;1506;0;0;0;0;2;809;584;1393;0;0;0;0;1;55;126;181;2;187;55;242;4;223;241;464;0;0;0;0;5;2879;1857;4736
