Goal No.;Chap_count;Tab_count;Rank_count
15;367;412;421
7;366;372;377
2;331;367;398
5;297;323;389
14;248;308;315
11;248;285;302
4;230;291;326
13;220;262;276
6;159;206;235
16;157;301;334
3;136;169;186
17;126;163;164
10;93;109;119
9;56;76;76
12;56;166;170
8;56;71;118
1;41;63;76
