1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
21;Dharwad;50;568;50;331;10;12;2582;133;2715;1;2;4;3;0;10;24;0;41;4;290;98;9;21;1001;208597419.00;221;860;1081;2449;28267;30716;39631;55713;95344;72536;403425;475961;27524;27798;55322;1866;12740;14606;144006;527943;671949;144006;527943;671949;3048193;2776642;2649083;2403293;100789;87237
22;Gadag;37;377;37;271;7;9;1444;86;1530;1;2;1;5;0;9;21;0;32;2;289;7;7;13;741;3093791950.00;182;420;602;4770;12594;17364;64624;75635;140259;35318;136348;171666;47246;39055;86301;2555;12727;15282;154513;276359;430872;154513;276359;430872;2300889;2117794;1943320;1780038;117496;98757
23;Haveri;17;289;17;230;5;41;331;0;331;1;2;2;5;0;10;27;0;37;3;447;6;7;16;885;22140000.00;87;390;477;3516;20857;24373;26854;51749;78603;11493;102633;114126;99636;79234;178870;0;28253;28253;141499;282726;424225;141499;282726;424225;4697010;4253511;4092492;3685480;197941;171507
24;Uttara Kannada;34;237;34;227;7;9;1022;95;1117;0;1;3;4;1;9;11;1;29;4;165;4;7;9;420;85691000.00;81;453;534;1581;11617;13198;22856;45992;68848;17495;130557;148052;13877;32764;46641;3364;7281;10645;59173;228211;287384;59173;228211;287384;1970779;1804718;1658996;1512655;154221;129263
25;Ballari;9;187;9;158;3;20;233;0;233;0;1;3;1;0;5;8;0;23;3;147;0;4;9;578;52990000.00;52;243;295;2994;27012;30006;11698;32502;44200;11420;79370;90790;36201;55069;91270;3162;11199;14361;65475;205152;270627;65475;205152;270627;2136686;1954411;1848426;1681201;161424;138858
26;Bidar;24;272;24;233;6;8;800;123;923;1;1;3;2;0;7;22;0;27;2;173;2;6;35;793;130451500.00;180;625;805;7169;29055;36224;46054;50627;96681;60551;205722;266273;11234;13140;24374;2880;22888;25768;127888;321432;449320;127888;321432;449320;1650103;1515368;1359275;1243129;75744;62137
27;Kalburgi;22;312;22;189;6;8;948;115;1063;0;3;1;3;0;7;21;1;23;1;132;9;6;16;691;104912577.00;70;513;583;3333;25157;28490;24102;31401;55503;33175;248532;281707;596;205;801;5248;22723;27971;66454;328018;394472;66454;328018;394472;1326948;1214871;1099206;1001988;71191;58716
28;Yadgir;20;161;20;153;4;5;595;34;629;0;2;2;5;1;10;24;1;17;3;143;0;6;14;379;61388000.00;48;393;441;5010;33229;38239;9069;5519;14588;46231;183311;229542;273;61;334;18091;5043;23134;78674;227163;305837;78674;227163;305837;1056499;970682;883268;808771;67912;56584
29;Raichur;27;262;27;156;5;7;1608;189;1797;0;3;3;0;0;6;KOLAR;;23;2;211;4;6;15;223;52031000.00;169;466;635;2930;18243;21173;22394;37183;59577;44427;190152;234579;20838;8821;29659;6735;3358;10093;97324;257757;355081;97324;257757;355081;1485479;1355433;1342388;1219066;85790;77159
30;Koppal;26;249;26;157;6;8;1324;189;1513;0;3;2;1;0;6;CHIKKABALLAPURA;;19;2;204;1;4;10;268;31995200.00;102;463;565;1321;14729;16050;13746;28759;42505;34399;199405;233804;13449;10139;23588;1574;4017;5591;64489;257049;321538;64489;257049;321538;1169790;1071829;998060;910834;83044;70570
