1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
1;Bengaluru(U);18;251;18;198;6;15;613;11;624;0;5;5;5;0;15;27;5;22;4;206;2;5;11;535;206097000.00;163;519;682;9458;29538;38996;12604;5541;18145;90403;197304;287707;2689;10240;12929;3220;48661;51881;118374;291284;409658;118374;291284;409658;2081815;1906061;1818629;1658488;98083;85343
2;Bengaluru(R);14;202;14;144;5;6;361;18;379;1;0;2;3;0;6;24;1;30;6;801;44;6;12;396;233023100.00;250;265;515;7760;16161;23921;55605;7803;63408;106780;151247;258027;62925;6372;69297;0;12540;12540;233070;194123;427193;233070;194123;427193;2007201;1849453;1720353;1576951;97372;83025
3;Ramanagara;37;280;37;181;5;9;815;69;884;0;2;5;4;0;11;18;1;27;4;221;4;5;16;647;21223569.00;124;581;705;11084;39519;50603;6161;4549;10710;81311;237430;318741;6244;4898;11142;22488;17136;39624;127288;303532;430820;127288;303532;430820;1464814;1344824;1212225;1108230;67801;55873
4;Chitradurga;38;411;38;267;8;11;2418;156;2574;0;2;4;2;0;8;19;1;32;4;269;0;7;13;578;118774850.00;144;749;893;1646;10259;11905;33215;58382;91597;31200;295590;326790;24326;854;25180;11829;5692;17521;102216;370777;472993;102216;370777;472993;1924707;1778226;1626389;1496695;97343;81931
5;Davanagere;16;109;16;104;3;5;291;5;296;0;1;0;3;0;4;2;0;19;2;154;6;4;7;213;18550000.00;27;271;298;524;7121;7645;4481;20285;24766;5238;62627;67865;4294;34894;39188;387;6045;6432;14924;130972;145896;14924;130972;145896;710719;654321;528652;485243;114746;85095
6;Kolara;20;240;20;213;5;6;679;13;692;1;0;5;7;0;13;18;1;25;5;656;21;5;12;535;536374000.00;127;695;822;6428;31859;38287;11932;11682;23614;77498;265826;343324;10012;12983;22995;123;52855;52978;105993;375205;481198;105993;375205;481198;1600515;1467417;1368700;1249437;65538;55802
7;Chikkaballapura;16;172;16;123;3;7;487;26;513;0;3;3;0;0;6;YADGIRI;;15;2;49;51;3;8;288;65669000.00;60;337;397;4647;25269;29916;5134;3705;8839;32182;148601;180783;2289;4142;6431;3348;8665;12013;47600;190382;237982;47600;190382;237982;833387;764944;681963;623361;63347;51622
8;Shivamogga;45;437;45;234;7;9;1368;109;1477;0;1;5;1;0;7;19;6;33;1;299;9;7;17;812;116606650.00;109;636;745;2706;18065;20771;17764;64688;82452;40169;304933;345102;17614;26735;44349;1151;12464;13615;79404;426885;506289;79404;426885;506289;2121930;1959560;1852783;1704009;105526;91764
9;Tumakuru;35;554;35;502;10;31;1263;12;1275;1;2;15;15;0;33;32;3;49;10;1106;41;13;27;1396;628786045.00;453;1291;1744;7752;40075;47827;53432;58890;112322;148909;574200;723109;133792;72106;205898;22868;85503;108371;366753;830774;1197527;366753;830774;1197527;3559925;3263465;3140574;2868973;66396;58370
10;Chikkamagaluru;16;231;16;130;4;5;428;81;509;0;2;1;2;0;5;10;1;17;2;171;1;3;6;178;4390000.00;55;424;479;1976;19837;21813;11315;37090;48405;22116;161488;183604;7026;13922;20948;3917;4090;8007;46350;236427;282777;46350;236427;282777;976866;901002;862244;791963;85832;75445
11;Dakshina Kannada;35;243;35;231;11;18;1243;46;1289;0;3;4;5;0;12;12;0;29;8;128;2;11;13;495;410615400.00;91;357;448;769;9596;10365;21582;33926;55508;32331;165292;197623;40515;37763;78278;3022;22354;25376;98219;268931;367150;98219;268931;367150;1419761;1310137;1227224;1126267;88648;76207
12;Udupi;33;448;33;266;7;19;1199;137;1336;1;2;4;2;0;9;45;1;49;4;1158;86;9;19;922;13330000.00;346;711;1057;2706;17588;20294;95722;121860;217582;63957;309639;373596;41182;31002;72184;19509;42102;61611;223076;522191;745267;223076;522191;745267;2796888;2559674;2413649;2197362;82940;71200
13;Hassan;19;285;19;223;7;10;696;7;703;0;2;5;2;0;9;16;4;21;5;152;1;7;18;621;79806300.00;113;354;467;6086;26340;32426;16384;24961;41345;37730;221754;259484;9003;8408;17411;9228;22921;32149;78431;304384;382815;78431;304384;382815;1320419;1215268;1127828;1033063;73969;62878
14;Kodagu;27;295;27;199;7;13;522;30;552;1;2;6;6;0;15;32;0;38;4;771;31;9;23;818;171872759.00;177;424;601;10881;46731;57612;17384;22145;39529;108110;192767;300877;54000;11292;65292;0;12343;12343;190375;285278;475653;190375;285278;475653;2735339;2481092;2356364;2126137;98374;84300
15;Mandya;11;197;11;122;5;9;322;15;337;0;1;5;3;0;9;11;5;13;3;110;0;6;14;368;581679150.00;112;255;367;3025;19288;22313;10924;4219;15143;57688;133867;191555;2289;1690;3979;4787;30591;35378;78713;189655;268368;78713;189655;268368;917392;842978;777912;711491;77002;64992
16;Mysuru;29;330;29;186;5;7;595;25;620;0;2;3;1;0;6;11;0;33;3;419;422;6;17;507;334771500.00;170;573;743;4882;31902;36784;7051;10674;17725;195266;51018;246284;15730;16052;31782;18408;3204;21612;241337;112850;354187;241337;112850;354187;1235609;1137066;1059761;971243;64917;55450
17;Chamarajanagara;32;350;32;264;7;11;871;47;918;1;1;7;0;2;11;KALABURAGI;;39;4;931;35;7;17;487;80733130.00;218;773;991;9330;48207;57537;25551;11676;37227;129073;281284;410357;23362;10709;34071;33451;21406;54857;220767;373282;594049;220767;373282;594049;1791547;1638016;1478377;1345934;62068;51000
18;Belagavi;27;198;27;96;4;16;562;26;588;0;1;5;0;0;6;BENGALURU;;154;1;4001;143;17;56;2635;136444500.00;1482;237;1719;20206;3331;23537;338024;81787;419811;301139;107744;408883;296761;28080;324841;276841;8901;285742;1232971;229843;1462814;1232971;229843;1462814;26851771;24580639;22813713;20731772;248433;209533
19;Vijayapura;18;244;18;126;4;6;820;52;872;0;3;2;0;0;5;RAMANAGARA;;24;1;162;0;4;7;214;224456250.00;123;444;567;1868;10589;12457;12829;25111;37940;44605;192377;236982;8754;7685;16439;1254;12629;13883;69310;248391;317701;69310;248391;317701;1285180;1169148;1122506;1016281;105014;91284
20;Bagalkot;17;183;17;105;4;7;957;94;1051;0;2;3;0;0;5;266;3;24;2;22;0;(UÁ) 3;6;366;692775600.00;68;316;384;1333;6021;7354;13726;35791;49517;33893;129480;163373;10114;11809;21923;2630;4222;6852;61696;187323;249019;61696;187323;249019;1296833;1170013;1124490;1011512;114819;99264
