1;2;1409;1410;1411;1412;1413;1414;1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477
13;Hassan;628981;10.50;89.50;70.10;6.00;4.70;1.30;433453;93.35;6.14;0.10;0.02;0.31;433453;63.44;2.85;8.63;24.06;0.30;0.41;0.21;0.44;433453;71.57;3.73;21.13;0.02;1.57;0.05;0.20;280;21;111;2571;2983;640;36;676;56;2;58;696;38;734;92;6;8;46;152;63;22;22;104;211;15;1;0;33;49;0;0;0;0;0;1;0;20;52;73
14;Kodagu;212974;13.20;86.80;73.50;1.00;6.00;0.90;142716;82.36;15.91;0.81;0.13;0.61;142716;48.11;33.41;2.45;9.76;2.07;2.40;1.90;0.80;142716;67.69;0.85;29.60;0.00;0.65;0.0;0.24;25;8;50;420;503;56;13;69;13;0;13;69;13;82;7;11;6;7;31;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;4;10;15
15;Mandya;562302;8.30;91.70;74.90;7.40;5.20;1.00;428625;91.67;7.84;0.12;0.02;0.26;428625;77.55;1.94;6.09;13.65;0.03;0.20;0.10;0.47;428625;74.45;3.91;18.85;0.07;0.62;0.03;0.18;115;15;49;2686;2865;320;26;346;38;1;39;358;27;385;47;4;5;34;90;1;0;0;2;3;12;0;0;74;86;0;0;0;0;0;6;1;17;53;77
16;Mysuru;920982;8.40;91.60;78.00;3.40;5.60;0.70;700968;93.11;6.34;0.13;0.03;0.32;700968;82.47;1.62;6.59;8.26;0.09;0.59;0.08;0.58;700968;49.57;7.40;39.95;0.06;0.68;0.05;0.29;287;110;113;2685;3195;602;227;829;301;91;392;903;318;1221;377;345;13;316;1051;169;57;57;280;563;20;4;1;33;58;3;0;0;5;8;12;9;101;229;351
17;Chamarajanagara;319880;10.80;89.20;83.00;2.20;4.40;1.00;244874;87.92;11.07;0.26;0.13;0.64;224874;66.31;2.93;11.52;18.12;0.04;0.24;0.09;0.61;244874;79.72;1.59;17.35;0.01;0.64;2.63;0.18;231;73;54;1363;1721;384;57;441;151;56;207;535;113;648;497;285;46;198;1026;0;0;0;0;0;7;4;1;9;21;0;0;0;0;0;17;0;41;96;154
18;Belagavi;1318975;11.20;88.80;77.70;2.70;5.00;0.80;983854;82.48;16.41;0.19;0.18;0.70;983854;54.08;14.39;7.83;19.33;0.44;2.94;0.40;1.05;983854;70.74;1.48;20.87;0.08;1.64;4.7;0.38;281;138;442;5328;6189;938;236;1174;554;82;636;1492;318;1810;191;243;151;706;1291;228;76;76;378;758;26;2;16;468;512;5;0;0;31;36;66;13;87;545;711
19;Vijayapura;527490;10.30;89.70;83.90;1.40;5.60;0.90;408806;80.73;18.16;0.25;0.87;1.63;408806;48.33;13.14;22.72;12.40;0.14;0.65;0.08;0.45;408806;72.17;1.71;14.56;0.07;0.45;2.93;0.19;258;24;265;2678;3225;1795;363;2158;105;23;128;1900;386;2286;120;11;80;90;301;290;96;96;485;967;73;0;3;99;175;20;0;0;118;138;55;10;242;619;926
20;Bagalkot;490657;12.60;87.40;80.30;2.40;6.00;0.90;361149;85.58;13.38;0.16;0.35;0.53;361149;64.69;2.92;6.31;20.88;0.30;2.64;0.26;1.02;361149;83.96;1.11;14.23;0.04;0.39;0.03;0.23;142;46;162;2016;2366;513;206;719;145;23;168;658;229;887;85;54;26;108;273;16;5;5;28;54;25;0;7;76;108;0;0;0;18;18;42;2;66;352;462
21;Dharwad;483104;9.30;90.70;80.60;2.20;6.60;0.70;382700;85.15;5.99;0.10;0.15;0.24;382700;73.85;0.89;2.53;10.71;8.14;0.19;0.00;0.44;382700;54.83;3.33;28.08;0.04;0.49;0.22;0.25;106;55;227;1825;2213;196;56;252;136;6;142;332;62;394;17;20;81;144;262;0;0;0;0;0;10;1;4;41;56;4;0;0;0;4;4;0;34;115;153
22;Gadag;291972;12.20;87.80;81.20;2.70;6.10;0.80;219096;91.85;7.42;0.17;0.04;0.23;219096;72.68;2.58;5.22;8.40;7.57;0.60;0.11;0.86;219096;78.43;1.12;14.82;0.06;0.67;0.08;0.23;120;52;121;1025;1318;637;41;678;234;10;244;871;51;922;91;48;85;194;418;69;23;23;115;230;7;1;2;26;36;1;1;0;7;9;15;7;27;178;227
23;Haveri;413564;8.00;92.00;81.10;2.60;4.90;1.00;330414;84.42;7.77;0.09;0.03;0.34;330414;70.04;0.98;2.60;17.08;0.28;0.50;0.01;1.14;330414;65.12;0.55;12.09;0.01;0.72;0.03;0.14;223;88;237;2652;3200;554;24;578;346;21;367;900;45;945;136;100;186;210;632;182;61;61;303;607;13;10;11;170;204;1;0;0;0;1;32;15;67;169;283
24;Uttara Kannada;474792;10.00;90.00;72.60;1.30;6.20;1.30;324530;90.96;8.30;0.38;0.05;0.18;324530;27.58;60.36;2.95;4.26;1.66;1.31;1.89;0.96;324530;65.73;1.17;28.08;0.31;3.46;0.03;0.32;77;28;138;2098;2341;149;38;187;66;10;76;215;48;263;11;10;19;59;99;57;19;19;94;189;0;2;0;63;65;0;0;0;0;0;19;0;22;118;159
25;Ballari;623480;10.48;89.52;84.46;1.66;4.96;0.80;547679;91.14;8.01;0.14;0.15;0.46;547679;78.78;1.45;3.39;13.23;0.54;0.70;0.40;0.52;547679;70.29;3.65;22.00;0.13;0.59;0.06;0.32;277;162;157;1903;2499;755;255;1010;521;262;783;1276;517;1793;312;309;72;136;829;370;123;123;618;1234;45;11;0;24;80;1;0;0;2;3;70;51;53;324;498
26;Bidar;389403;6.10;93.90;84.20;1.40;6.80;0.90;319937;86.61;12.05;0.17;0.17;0.82;319937;50.70;12.78;17.54;16.84;0.27;0.13;0.31;1.04;319937;71.47;1.86;11.04;0.11;0.29;0.16;0.22;267;121;174;1376;1938;1320;160;1480;607;40;647;1927;200;2127;124;90;87;35;336;135;45;45;221;446;47;7;7;40;101;0;0;0;0;0;1;0;25;113;139
27;Kalburgi;600007;8.20;91.80;83.00;1.30;5.80;0.90;471601;87.04;12.02;0.16;0.04;0.54;471601;56.90;10.65;15.00;14.72;0.06;1.05;0.22;0.52;471601;72.75;2.79;16.78;0.12;0.35;0.05;0.22;383;28;229;1618;2258;2707;102;2809;111;4;115;2818;106;2924;221;16;94;119;450;227;76;76;372;751;92;2;9;89;192;6;0;0;0;6;25;4;42;165;236
28;Yadgir;262995;9.90;90.10;82.50;2.00;5.10;1.00;202063;77.93;20.71;0.25;0.42;0.80;202063;47.00;11.97;25.02;12.16;0.35;0.86;0.22;0.52;202063;86.60;0.58;9.47;0.40;0.18;0.31;0.27;213;107;105;830;1255;691;75;766;259;72;331;950;147;1097;574;344;209;217;1344;150;50;50;249;499;32;0;0;29;61;4;1;0;0;5;27;33;24;129;213
29;Raichur;455848;7.80;92.20;83.70;1.60;4.70;0.90;363853;87.52;11.12;0.28;0.05;0.75;363853;61.10;5.27;9.53;11.80;4.24;2.30;1.37;0.84;363853;79.35;1.33;14.32;0.76;0.63;0.18;0.35;258;151;122;986;1517;892;83;975;762;27;789;1654;110;1764;533;922;286;420;2161;126;41;41;211;419;45;5;1;55;106;5;0;0;1;6;37;15;54;154;260
30;Koppal;337649;9.80;90.20;82.50;2.50;5.00;0.90;264595;86.03;12.79;0.14;0.07;0.73;264595;72.01;2.61;6.70;15.41;1.07;0.39;0.04;0.40;264595;84.14;1.26;12.21;0.13;0.26;0.09;0.24;231;117;179;1772;2299;542;133;675;635;44;679;1177;177;1354;88;144;38;210;480;28;9;9;46;92;34;1;1;66;102;2;0;0;1;3;35;11;73;299;418
